질문,답변
옴 진드기,안녕하세요. 메디이즈입니다. 지금 아직 피부가 가렵다고 하면 너무 따뜻하거나 뜨거운 것으로 하면 가려움증이 조금 심해질수 있으니 주의가 필요합니다.
생리중 질내사정,안녕하세요  요약 1. 생리중이라면 임신가능성은 없습니다. 2. 다만 생리가 아니라 부정출혈이라면 임신 가능성이 있습니다. 3. 생리주기가 규칙적이고 생리라고 확신한다면 임신 가능성 없습니다.  건승하세요
멀미와 같은 어지럼증이 발생합니다.,안녕하세요. 메디이즈입니다. 이석증과 같은 말초성 현훈 가능성이 높아 신경과나 이비인후과 진료가 필요합니다. 일반 의약품으로는 호전을 기대하기 어렵습니다.
주기적으로 걸리는 편도염,안녕하세요. 메디이즈입니다. 자주 아프셔서 많이 불편하시겠네요. 면역력을 기르기 위하여 규칙적인 운동을 권해드리고 비타민씨 메가도즈 요법도 고려해보셔요. 잠은 잘 주무시죠?
임신 가능성,안녕하세요  요약 1. 임신가능성이 있습니다. 2. 사후피임약을 월요일날 처방받으면 효과는 더 떨어집니다.  관계 후 24시간 이내에 사후피임약응급피임약을 복용할 경우  피임 실패율은 5 정도 되며 48시간 이내에는 실패율이 15 72시간 이내에는 실패율 42로  복용 시간이 늦어질수록 피임 실패율은 급격하게 높아집니다.   건승하세요.
곤지름인가요 유두종인가요,안녕하세요  질전정유두종은 곤지름과 달리 한 줄로 대칭적으로 자라게 되며 소음순과 질 입구인 전정에 대칭적으로 분포됩니다.  그리고 만졌을 때 까끌하지 않고 부드럽다면 곤지름이 아닌 질전정유두종일 가능성이 높습니다.    건승하세요.
왼쪽 고환 통증,안녕하세요. 메디이즈입니다. 비뇨기과 진료가 필요할 수 있습니다. 가장흔한 원인은 정계정맥류라는 질환인데 진료를 통해서 확인해보시는 것이 필요합니다
이물육아종,안녕하세요. 메디이즈입니다. 피하 혹은 진피에 미세한 나무조각이 박혀 들어간 경우 이물 육아종으로 발전할 가능성은 있습니다. 이물 육아종은 이물질이 박혀서 생긴 종양으로 크기가 커지거나 통증 등의 증상이 나타날 경우 수술적으로 제거해야 할 수도 있습니다.  박혀 들어간 나무조각의 크기 깊이 위치 등에 따라 이물 육아종의 발생 가능성과 수술적 제거 여부가 달라질 수 있습니다
소금 많이 먹기,안녕하세요. 메디이즈입니다. 의학적으로 권장되는 상황은 아닙니다. 지금 상태를 정확하게 파악하고 절절한 처방을 받아보시는 것이 필요하다고 생각됩니다
남성 손가락 사마귀가 여성 생식기에 감염 등 영향 여부,안녕하세요. 메디이즈입니다. 남성의 손가락에 있는 사마귀가 여성 생식기에 직접적인 감염을 일으키는 경우는 드물지만 간접적으로 영향을 미칠 수 있습니다. 사마귀는 인체유두종바이러스HPV에 의해 발생하는 질환입니다. 성기 주변에 발생한 사마귀는 성 접촉을 통해 전파될 수 있습니다. 그러나 손가락 사마귀는 대개 피부 접촉을 통해 전파되므로 직접적인 생식기 감염 가능성은 낮습니다. 그래도 조심하시는 것이 좋을 것 같습니다
가다실 9가 3차를 맞고나서 약을 복용했어요,안녕하세요. 메디이즈입니다. 가다실 3차 까지 접종하셨고 통풍으로 소염진통제 복용하시는 것이 항체 형성에는 큰 영향은 없을 것으로 생각하니 너무 걱정하지 마세요
발바닥 사진 주의 이거 무좀인가요?,안녕하세요. 메디이즈입니다. 사진상으로는 뚜렷하지는 않은데 가능성도 있어보입니다. 확실하게 진료를 받아보시는 것이 좋을 것 같습니다. 발가락 사이도 허물이 벗겨지나요?
멀미와 같은 어지럼증이 발생합니다.,안녕하세요. 메디이즈입니다. 이석증과 같은 말초성 현훈 가능성이 높아 신경과나 이비인후과 진료가 필요합니다. 일반 의약품으로는 호전을 기대하기 어렵습니다.
잇몸 출혈,안녕하세요  요약 1. 잇몸 출혈의 원인이 확실하기 때문에 2. 당분간 안 건드리면 됩니다. 3. 내일 아침에도 욱신거리거나 출혈이 지속되면 4. 그때는 치료가 필요합니다.  잇몸 출혈의 원인들입니다.  잘못된 칫솔질 이쑤시개 사용 양치질을 하고 났더니 잇몸에서 피가 남 부적절한 치아 위생 치은염 치근막염 잇몸이 붓고 피가 남 비타민 결핍 잇몸에 출혈 증상과 함께 식욕이 줄어들고 치아가 흔들리는 듯한 느낌이 생김  건승하세요
에이즈 초기증상,안녕하세요. 메디이즈입니다.  질문의 내용상 에이즈의 가능성은 희박하므로  크게 걱정하지 마시고 병원 내원하셔서 정확한 진료를 한번 받도록 하십시요.
교차감염되나요???,안녕하세요.  요약 1. 네 교차감염 가능합니다. 2. 실제 둘다 동시에 양성이 나오는 경우도 있습니다. 3. 2가 입으로 1이 성기로 가는 경우도 꽤 있습니다.  건승하세요.
손가락 통증,안녕하세요  요약 1. 인대파열이나 부분파열이 있으면 구부리기 힘들어 집니다. 2. 병원에서 과거 파열된 부위가 더 심해졌는지 평가해 보세요 3. 덜 나은 부위가 지속되면 관절염이 추가되기도 합니다.  건승하세요.
엑스레이 흉부 이상 소견,안녕하세요  검사로 흔히 발견되는 폐결절은  보통 3cm를 기준으로 이보다 크면 혹 또는 종양 작으면 결절이라고 부릅니다  대부분의 폐결절은 폐암이 아니니 안심하셔도 됩니다.  극히 일부를 제외한 대부분의 폐결절은 양성 결절로서 과거 알게 모르게 지나간 폐의 염증 흔적들이 흉터처럼 남아있는 경우가 많습니다.  건승하세요
뇌출혈 후 편마비가 왔습니다,안녕하세요. 메디이즈입니다.  뇌손상으로인한 편마비는 대게 팔다리 같이 오는데요. 뇌병변에 따라서 다리만 올 수도 있습니다.  그 외에도 혈액순환장애나 근육피로도에 의해서도 일시적으로 다리만 힘이 빠지는 증상이 나타날 수도 있습니다.  재활운동 꾸준히 하시고 휴식도 잘하시고.. 주치의와 상담하여 적절한 치료를 받기를 바랍니다.
손톱 어떡하죠?,안녕하세요. 메디이즈입니다. 말씀 드리기 조심스럽지만 건선이 손톱에 생긴것이 아닌가 싶습니다. 피부과진료를 받아보시는 것이 필요해 보입니다. 다른 피부병변은 없나요?
메니에르라는데 매일 눈앞이 도는게 이상해요,안녕하세요. 메디이즈입니다. 너무 힘드시겠네요. 눈이 돈다는 것이 혹시 어지럽증을 이야기 하시는 것인가요? 치료해도 호전되지않고 지속되면 신경과 진료 한번 받아보셔요.
대상포진? 삼차신겅통,안녕하세요. 메디이즈입니다. 많이 힘드시겠네요. 대상포진후 신경통은 일반적으로 피부 병변이 나타났던 부위에 나타납니다. 목과 턱으로 위치가 변했다면 포진후 신경통이 아닐가능성이 있으니 일단 자팜 드셔보시면서 경과를 지켜보셔요
치루 수술 좌욕,안녕하세요  요약 좌욕을 한다고 오랜 시간 쪼그려 앉아 있을 경우 오히려 항문 혈관의 압력이 증가하거나 치열 부위 상처가 덧날 수 있습니다.  좌욕을 하면 항문 조임근이 이완돼 항문압이 낮아지고 괄약근 주변 혈액순환이 활발해져서 치질 증상 완화에 도움이 되지만  따뜻한 물을 받아 엉덩이를 오래 담그는 행위로는 치질 질환 예방에 전혀 도움이 되지 않습니다.  오랜 시간 쪼그려 앉아 있을 경우 항문 혈관의 압력이 증가하거나 치열 부위 상처가 덧날 수 있습니다.  일반 샤워기를 이용해 물살이 세지 않게 조정한 다음 체온과 비슷한 3738의 온도로 항문 주변을 마사지해주는 것이 좋으며  좌욕 후에는 물기가 남아있지 않도록 완벽하게 건조해야 항문소양증 같은 2차 항문질환을 예방할 수 있습니다.  건승하세요
임신 가능성,안녕하세요  요약 1. 임신가능성이 있습니다. 2. 사후피임약을 월요일날 처방받으면 효과는 더 떨어집니다.  관계 후 24시간 이내에 사후피임약응급피임약을 복용할 경우  피임 실패율은 5 정도 되며 48시간 이내에는 실패율이 15 72시간 이내에는 실패율 42로  복용 시간이 늦어질수록 피임 실패율은 급격하게 높아집니다.   건승하세요.
손가락 통증,안녕하세요  요약 1. 인대파열이나 부분파열이 있으면 구부리기 힘들어 집니다. 2. 병원에서 과거 파열된 부위가 더 심해졌는지 평가해 보세요 3. 덜 나은 부위가 지속되면 관절염이 추가되기도 합니다.  건승하세요.
곤지름인가요 유두종인가요,안녕하세요  질전정유두종은 곤지름과 달리 한 줄로 대칭적으로 자라게 되며 소음순과 질 입구인 전정에 대칭적으로 분포됩니다.  그리고 만졌을 때 까끌하지 않고 부드럽다면 곤지름이 아닌 질전정유두종일 가능성이 높습니다.    건승하세요.
혈당 질문좀 드립니다,안녕하세요. 메디이즈입니다.  주신 내용을 보았을 때 혈당스파이크 즉 혈당이 높고 낮음의 격차가 매우 심하게 오고 가는 듯합니다 저녁식사의 내용이 다르지 않다해도 혈당이 높음은 하루 24시간동안 에너지 대사율이 다르고 인슐린만이 아닌 다른 호르몬들의 분비능이 서로 다르기에 같은 조건이라해도 하루 중 혈당 혈압등은 다 다를 수 있게 됩니다  당화혈색소는 정상이나 혈당의 높낮음의 폭이 크다면 최근 연속으로 혈당을 10일이나 15일을 지속체크하는 기기들이 나오고 있습니다. 비용은 대략 10만원에서 15만원 사이로 알고 있는데 만약 주치의 선생님이 게시다면 해당 기기를 가볍게 마치 파스처럼 팔에 붙여두면 연속해서 혈당을 체크하여 이를 본인과 주치의 핸드폰으로 정보가 가서 그 변화폭의 그래프를 볼 수 있게 될 것입니다  대표적으로 현재 추천해드릴 기기는 카카오에서 출시되고 있는 파스타라는 혈당관리 기기입니다 온라인상에서 주치의와 함께 볼 수 있기에 혈당관리에서 매우 중요한 데이타를 얻으실 수 있을 것입니다
속 울렁거림 구토감 오심,안녕하세요. 메디이즈입니다.  소화불량과 구역감을 호소하시는게 위염의 증상일 수 있습니다. 약물이나 스트레스로 인해 위염이 악화될 수 있습니다. 위내시경 검사를 받아보고 위장질환위염 위궤양 역류성식도염 등등..에 대한 확인을 해보는게 좋겠습니다.
뇌출혈 후 편마비가 왔습니다,안녕하세요. 메디이즈입니다.  뇌손상으로인한 편마비는 대게 팔다리 같이 오는데요. 뇌병변에 따라서 다리만 올 수도 있습니다.  그 외에도 혈액순환장애나 근육피로도에 의해서도 일시적으로 다리만 힘이 빠지는 증상이 나타날 수도 있습니다.  재활운동 꾸준히 하시고 휴식도 잘하시고.. 주치의와 상담하여 적절한 치료를 받기를 바랍니다.
생리중 질내사정,안녕하세요  요약 1. 생리중이라면 임신가능성은 없습니다. 2. 다만 생리가 아니라 부정출혈이라면 임신 가능성이 있습니다. 3. 생리주기가 규칙적이고 생리라고 확신한다면 임신 가능성 없습니다.  건승하세요
뇌출혈 후 편마비가 왔습니다,안녕하세요. 메디이즈입니다.  뇌손상으로인한 편마비는 대게 팔다리 같이 오는데요. 뇌병변에 따라서 다리만 올 수도 있습니다.  그 외에도 혈액순환장애나 근육피로도에 의해서도 일시적으로 다리만 힘이 빠지는 증상이 나타날 수도 있습니다.  재활운동 꾸준히 하시고 휴식도 잘하시고.. 주치의와 상담하여 적절한 치료를 받기를 바랍니다.
속 울렁거림 구토감 오심,안녕하세요. 메디이즈입니다.  소화불량과 구역감을 호소하시는게 위염의 증상일 수 있습니다. 약물이나 스트레스로 인해 위염이 악화될 수 있습니다. 위내시경 검사를 받아보고 위장질환위염 위궤양 역류성식도염 등등..에 대한 확인을 해보는게 좋겠습니다.
혈당 질문좀 드립니다,안녕하세요. 메디이즈입니다.  주신 내용을 보았을 때 혈당스파이크 즉 혈당이 높고 낮음의 격차가 매우 심하게 오고 가는 듯합니다 저녁식사의 내용이 다르지 않다해도 혈당이 높음은 하루 24시간동안 에너지 대사율이 다르고 인슐린만이 아닌 다른 호르몬들의 분비능이 서로 다르기에 같은 조건이라해도 하루 중 혈당 혈압등은 다 다를 수 있게 됩니다  당화혈색소는 정상이나 혈당의 높낮음의 폭이 크다면 최근 연속으로 혈당을 10일이나 15일을 지속체크하는 기기들이 나오고 있습니다. 비용은 대략 10만원에서 15만원 사이로 알고 있는데 만약 주치의 선생님이 게시다면 해당 기기를 가볍게 마치 파스처럼 팔에 붙여두면 연속해서 혈당을 체크하여 이를 본인과 주치의 핸드폰으로 정보가 가서 그 변화폭의 그래프를 볼 수 있게 될 것입니다  대표적으로 현재 추천해드릴 기기는 카카오에서 출시되고 있는 파스타라는 혈당관리 기기입니다 온라인상에서 주치의와 함께 볼 수 있기에 혈당관리에서 매우 중요한 데이타를 얻으실 수 있을 것입니다
옴 진드기,안녕하세요. 메디이즈입니다. 지금 아직 피부가 가렵다고 하면 너무 따뜻하거나 뜨거운 것으로 하면 가려움증이 조금 심해질수 있으니 주의가 필요합니다.
가다실 9가 3차를 맞고나서 약을 복용했어요,안녕하세요. 메디이즈입니다. 가다실 3차 까지 접종하셨고 통풍으로 소염진통제 복용하시는 것이 항체 형성에는 큰 영향은 없을 것으로 생각하니 너무 걱정하지 마세요
발바닥 사진 주의 이거 무좀인가요?,안녕하세요. 메디이즈입니다. 사진상으로는 뚜렷하지는 않은데 가능성도 있어보입니다. 확실하게 진료를 받아보시는 것이 좋을 것 같습니다. 발가락 사이도 허물이 벗겨지나요?
엑스레이 흉부 이상 소견,안녕하세요  검사로 흔히 발견되는 폐결절은  보통 3cm를 기준으로 이보다 크면 혹 또는 종양 작으면 결절이라고 부릅니다  대부분의 폐결절은 폐암이 아니니 안심하셔도 됩니다.  극히 일부를 제외한 대부분의 폐결절은 양성 결절로서 과거 알게 모르게 지나간 폐의 염증 흔적들이 흉터처럼 남아있는 경우가 많습니다.  건승하세요
부비동염 후 점점 심해지는 기침,안녕하세요. 메디이즈입니다. 호흡기 감염이후에 기침이 심해졌다가 좋아졌다가 하면서 잘 좋아지지 않으면 기관지 알러지 가능성도 고려해 보양 합니다
퀴놀론시록신정과 이 영양제 함께 복용시 퀴놀론의 흡수 저하가 많이 될 수 있나요?,안녕하세요. 메디이즈입니다. 1시간 간격을 두시고 드시면됩니다 퀴놀론계 항생제는 다른 극성물질과 위장관에서 만나면 흡수율이 저해됩니다 영양제에 많이 들어있는 미네랄류는 전부 해당됩니다 결론은 위장관에서 미네랄과 퀴놀론이 안만나면됩니다 항생제를 1시간전에 드시고 1시간뒤에 영양제를 드시면됩니다 물론 반대도 동등합니다 많이 간격을 둬 영양제를 점심때 드셔도 됩니다 위 소화액이 공간이 좁은 소장으로 넘어가면 보통 상호작용을 일으킬 수 없기 때문입니다  건강하세요
급해요 여성 생식기 화상에 대해,안녕하세요. 메디이즈입니다. 1. 네 12 3 도로 분류합니다 2.생식기 화상의 주요 증상과 치료법은 다음과 같습니다 증상  심한 통증과 붓기 수포 형성 피부 변색 붉은색 흰색 등 출혈 요도질 분비물 증가 배뇨 곤란  치료  응급 처치   노출된 피부에 차가운 생리식염수나 물로 2030분간 식힘 멸균 거즈로 덮어 감염 예방 진통제 투여   전문 의료 치료   화상 정도 평가 및 분류 괴사 조직 제거 세징 수액 및 전해질 보충 항생제 투여 감염 예방 통증 관리 피부 이식술 심한 3도 화상인 경우 반흔 치료 및 재건술 3. 그래도 될것 같습니다
음주 후 엑세라민비정 복용,안녕하세요. 메디이즈입니다. 넵 음주후에 복용해도됩니다 속쓰림이나 위장장애가 있을 순 있는데 평소에 엑민 드셨을때 괜찮으셨으면 괜찮을겁니다 건강하세요
길 걷다가 이런 증상들이 나타났습니다..,안녕하세요. 메디이즈입니다.  어지럼에 의한 증상이거나 과호흡 등에 의한 증상 가능성이 높을듯합니다만 현재 정보만으로는 환자 상태에 대한 객관적인 평가가 불가하기에 증상이 지속되거나 악화된다면 가까운 병원 진료 권유합니다.
두피에 쥐 혹은 저림,안녕하세요. 메디이즈입니다. 잘 때 자세 문제로 두피가 저리고 먹먹할 수 있습니다. 두피는 얇고 두개골이 딱딱해서 압박에 취약합니다. 두피에서 온도 차이나 통각을 잘 느끼고 다른 신경계통의 이상 증상이 없으면 안심하고 기다려보면 됩니다.
저번주 토요일에 집에서 어딘가에 좀 세게 발가락을 부딪쳐서 발톱에서 피가 나고 피멍이 들었었는데 밴드 꼬박꼬박 붙이고 다니니 피멍은 거의 다 빠지고 있는데 발가락 붓기가 아직도 안빠져서 걱정입니다.,안녕하세요. 메디이즈입니다.  발가락을 다치셨군요. 발가락은 뼈가 약해서 쉽게 부러집니다. 가까운 정형외과에서 방사선 촬영을 해보시기 바랍니다. 감사합니다.
손가락 마디가 달라요,안녕하세요. 메디이즈입니다.  새끼손가락이 불편하시군요. 해당증상은 새끼손가락에서 흔히 나타납니다. 손가락을 굽히는 힘줄이 속에서 걸리는 현상이 있는 것 같습니다. 가까운 정형외과를 방문하시기 바랍니다. 감사합니다.
한가지 더 질문 드립니다,안녕하세요. 메디이즈입니다.  네. 목발은 아프지않는 방향으로 한쪽만 사용하시다가 점점 사용하지않는 방향으로 가시는 것이 좋습니다. 그러다가 통증이 있으면 다시 사용하셔야 합니다. 다리에 체중이 부하되는 것이 골유합에 유리합니다. 감사합니다.
심근효소랑 미주신경성 실신이랑 관련이 있나요?,안녕하세요. 메디이즈입니다.  미주신경? 심전도?  연령대로 보아 해당검사를 일상적으로 하지는 않을 듯한데 다른 이유나 임상소견 과거력 병력이나 가족력이 있는건 아닌가를 체크해 보아야할 듯합니다  일시적으로 쓰러지거나 앉았다 일어나면 어지럽고 눈앞이 깜깜해지는 등은 저혈압에 의한 경우가 대부분이고는 합니다. 미주신경자극도 저혈압을 초래할 수 있는 한 조건이 될 수 있습니다  평소 본인의 자세 체형 체중 운동 등을 체크해봐야할 것입니다
간질을 앓고 있는 성인 남성인데 6년 만에 발작이 ,안녕하세요. 메디이즈입니다. 수면이 가장 큰 원인이 아니었을까 싶네요 간질 환자들이 잘 조절되던 상태에서 다시 발작을 일으키는 원인은 다양할 수 있습니다. 주요 원인들은 다음과 같습니다.  약물 불순응Noncompliance 약물 복용을 제대로 하지 않거나 임의로 약물을 중단하는 경우 발작이 재발할 수 있습니다. 스트레스 스트레스는 뇌의 흥분성을 높여 발작 역치를 낮출 수 있습니다. 수면 부족 수면 부족 역시 뇌의 과다한 활성화를 불러와 발작을 유발할 수 있습니다. 호르몬 변화 여성의 경우 월경 주기 임신 출산 등 호르몬 변화로 인해 발작이 재발할 수 있습니다. 감염성 질환 열을 동반한 감염 시 뇌의 흥분성이 높아져 발작 위험이 증가합니다. 약물 상호작용 일부 약물들이 항경련제의 혈중 농도를 변화시켜 발작을 유발할 수 있습니다. 두부 외상 최근에 두부 외상을 입은 경우 발작 위험이 높아집니다.
